donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),690000,435000,,,20,1,1,7,44,Senior
Buenos Aires,Full-Time,Staff (planta permanente),453000,283000,,,4,2,2,0,37,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),480000,350000,Cobro parte del salario en dólares,160,2,2,2,0,25,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1100000,1000000,Cobro todo el salario en dólares,310,20,1,15,1,42,Senior
Mendoza,Full-Time,Staff (planta permanente),325000,250000,,,10,10,7,0,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),91000,79000,,,1,1,1,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,282000,,,8,5,3,4,31,Senior
Chaco,Full-Time,Staff (planta permanente),300000,220000,Cobro parte del salario en dólares,163,10,3,1,0,30-40,Senior
Córdoba,Full-Time,Staff (planta permanente),495000,414000,,,3,0,0,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),650000,440000,Mi sueldo está dolarizado (pero cobro en moneda local),,3,0,0,0,31,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),303000,256000,,,1,1,1,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),218000,180000,,,7,0,6,4,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),218494,187559,,,2,2,2,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),221250,186128,,,3,2,2,0,25,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),312000,523000,Cobro parte del salario en dólares,161,2,2,2,5,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),262000,404000,Mi sueldo está dolarizado (pero cobro en moneda local),,2,1,2,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),320000,255000,,,2,1,2,3,24,Junior
Córdoba,Full-Time,Staff (planta permanente),400000,360000,Mi sueldo está dolarizado (pero cobro en moneda local),,5,2,2,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),212000,180000,,,1,1,0,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,321000,,,6,0,6,0,30,Senior
