donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1400000,1400000,Cobro todo el salario en dólares,,15,0,3,7,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1600000,,Cobro todo el salario en dólares,,8,1,1,6,32,Senior
Salta,Full-Time,Staff (planta permanente),450000,360099,,,0,7,0,0,30,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),240000,190000,,,1,0,0,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),270000,224000,,,1,0,2,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),220400,182932,Mi sueldo está dolarizado (pero cobro en moneda local),,1,0,0,0,30,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),350000,250000,Cobro todo el salario en dólares,,10,0,0,0,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),365000,282000,,,1,0,0,11,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),722000,510000,,,12,0,0,3,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),280000,235000,,,3,0,0,0,30,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),330000,280000,,,22,4,4,0,46,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000,680000,Mi sueldo está dolarizado (pero cobro en moneda local),342,4,2,1,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),933000,670000,,,20,8,2,4,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),144000,123000,,,4,4,4,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),457000,350000,,,15,5,2,0,41,Senior
Buenos Aires,Full-Time,Staff (planta permanente),803988.55,509224,Cobro parte del salario en dólares,,15,1,1,12,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150000,122000,,,2,2,2,1,32,Junior
Buenos Aires,Full-Time,Staff (planta permanente),365474,278641,Cobro parte del salario en dólares,173,87,4,3,0,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),940000,400000,,,5,2,2,0,36,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),880000,550000,,,15,4,2,7,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),333180,294200,,,1.5,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,310000,310000,Cobro parte del salario en dólares,,8,0,0,0,28,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),340000,340000,Cobro todo el salario en dólares,330,1,1,1,0,32,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,475000,,,15,2,2,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,440000,,,10,2,0,5,29,Senior
Córdoba,Full-Time,Staff (planta permanente),319000,265000,Cobro parte del salario en dólares,181,1.5,1.5,1.5,0,33,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,620000,,0,17,9,0,0,35,Senior
Buenos Aires,Full-Time,Staff (planta permanente),806000,450000,,,10,2,7,0,39,Senior
Córdoba,Full-Time,Staff (planta permanente),1174000,1092000,Cobro todo el salario en dólares,158,15,2,2,0,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),520000,,,,10,7,2,0,35,Senior
Corrientes,Full-Time,Staff (planta permanente),138000,138000,,,0,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),330000,275000,,,5,0,0,0,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),285000,285000,,,17,8,6,3,37,Senior
Santa Fe,Full-Time,Staff (planta permanente),260000,214000,,,1,1,1,2,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),560000,360000,,,2,0,0,0,29,Junior
Córdoba,Full-Time,Staff (planta permanente),700000,670000,Cobro todo el salario en dólares,,10,0,0,5,36,Senior
Buenos Aires,Full-Time,Staff (planta permanente),190000,165000,,,0,0,0,0,27 años,Junior
Neuquén,Full-Time,Staff (planta permanente),600000,500000,Cobro parte del salario en dólares,,10,0,0,0,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),286000,237000,,,17,0,0,2,43,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),112000,92000,,,0,0,0,0,33,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),230000,60000,Cobro parte del salario en dólares,173.87,2,1,1,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,950000,,,19,11,3,150,41,Senior
Córdoba,Full-Time,Staff (planta permanente),217813,180000,,,2,2,2,0,31,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),297000,240000,,,3,3,1,6,34,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),1422000,874000,Cobro parte del salario en dólares,175,9,5,2,3,33,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),280000,280000,Cobro todo el salario en dólares,,0,0,0,0,31,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),319000,260000,,,15,7,7,2,51,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),279000,231500,,,5,0,0,2,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),390000,330000,,,5,1,1,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),204000,184000,,,1,1,1,0,32,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),406551,320000,,,0,2,0,7,38,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),540000,340000,,,3,1,1,0,48,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1700000,1700000,Cobro todo el salario en dólares,,4,0,0,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),327000,271410,,,16,0,0,0,37,Senior
Santa Fe,Full-Time,Staff (planta permanente),192000,20000 (debido a 20% en dólar oficial),Cobro parte del salario en dólares,180,0,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,130000,127000,,,1,1,1,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),283015,234903,Cobro parte del salario en dólares,183,2,11,2,0,35,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),790000,470000,,,26,11,10,8,52,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),339293,280000,,,2,4,2,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000,380000,,,10,2,1,8,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,860000,,,5,15,2,100,40,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),340000,280000,,,12,0,0,0,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,249000,,,11,14,0,1,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),483000,350000,,,18,0,0,0,42,Senior
Buenos Aires,Full-Time,Freelance,280000,275000,,,6,2,1,2,41,Senior
Santa Fe,Full-Time,Staff (planta permanente),468000,340000,,,3,6,0,0,37,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),190000,190000,,,1,3,1,0,32,Junior
Santa Fe,Full-Time,Staff (planta permanente),216000,185000,,,2,2,2,0,35,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),410000,340,,,3,3,1,0,36,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),1395000,1285000,Cobro parte del salario en dólares,350,9,1,1,0,32,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),904000,465000,,,4,1.5,1.5,15,44,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,252000,,,7,0,0,0,27,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),258000,214200,,,6,3,3,0,37,Senior
Buenos Aires,Full-Time,Staff (planta permanente),215000,190000,Cobro parte del salario en dólares,173,3,2,2,1,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),370000,273000,,,6,6,1,7,31,Senior
Buenos Aires,Full-Time,Staff (planta permanente),72999,62250,,,1,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,116000,116000,,,1,1,1,0,33,Junior
Córdoba,Full-Time,Remoto (empresa de otro país),250000,,Cobro todo el salario en dólares,342,4,0,0,0,30,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),286760,,,,3,3,0,0,25,Semi-Senior
Córdoba,Part-Time,Freelance,700000,,Cobro todo el salario en dólares,2000,15,2,8,0,37,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),750000,750000,Cobro todo el salario en dólares,,3,0,0,0,30,Semi-Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1500000,1350000,Cobro todo el salario en dólares,,10,3,3,0,30,Senior
Buenos Aires,Full-Time,Staff (planta permanente),755227,590000,,,17,16,4,0,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),620000,433000,,,5,0,0,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),240000,199200,,,2,2,2,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,650000,,,25,20,15,0,50,Senior
Buenos Aires,Full-Time,Staff (planta permanente),374025,292368,,,1,1,1,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),441077,264924,,,4,3,3,0,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),616000,,Mi sueldo está dolarizado (pero cobro en moneda local),Ni idea. Cercano al oficial. O al MEP o algo así.,4,3,3,0,41,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),261000,216000,,,3,2,2,0,27,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),150000,150000,,,3,3,1,0,29,Semi-Senior
Santiago del Estero,Full-Time,Staff (planta permanente),418665,322410,Cobro parte del salario en dólares,163.24,7,1,1,0,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),340000,300000,,,2,1,0,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),507000,,,,12,1,1,5,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),120000,100000,,,0,0,0,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),604305,250157,Cobro parte del salario en dólares,,15,1,1,0,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),285000,246100,,,20,1.5,1.5,0,45,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),95000,81000,,,0,0,0,0,25,Junior
Buenos Aires,Full-Time,Freelance,484000,400000,,,15,5,5,6,43,Senior
Córdoba,Full-Time,Staff (planta permanente),355000,295000,,,3,3,3,0,33,Semi-Senior
La Pampa,Full-Time,Staff (planta permanente),500000,450000,,,3,1,2,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),273000,,,,5,1,0,2,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),250000,205000,,,10,0,1,0,31,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1050000,1000000,Cobro todo el salario en dólares,,4,1,1,6,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,280000,,,1,1,1,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,1500000,750000,Cobro parte del salario en dólares,336,4,0,0,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,350000,,,2,2,2,0,43,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1150000,750000,,,11,4,2,10,33,Senior
Buenos Aires,Full-Time,Staff (planta permanente),530000,344000,,,2.5,2.5,2.5,0,27,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),538000,336000,,,3,2,1,0,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),360000,,,,0,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,230000,220000,,,2,0,2,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),666000,400000,,,15,1,10,5,42,Senior
Buenos Aires,Full-Time,Staff (planta permanente),294630,246343,Cobro parte del salario en dólares,,1,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),554200,260239,Cobro parte del salario en dólares,176,20,4,4,0,34,Senior
Santa Fe,Full-Time,Staff (planta permanente),140000,129000,Cobro parte del salario en dólares,,0,0,0,0,31,Junior
Buenos Aires,Full-Time,Staff (planta permanente),500000,400000,,,4,2,0,9,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),278130,237717,,,1,1,1,0,34,Junior
Buenos Aires,Full-Time,Staff (planta permanente),410000,268,,,5,2,1,1,32,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),306000,256000,,,3,3,3,0,30,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),358000,288000,Mi sueldo está dolarizado (pero cobro en moneda local),298,0,0,0,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),688000,609633,Cobro parte del salario en dólares,,20,3,20,0,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),930000,650000,Cobro todo el salario en dólares,,8,1,1,6,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),200000,185000,,,1,0,0,0,29,Junior
San Juan,Full-Time,Staff (planta permanente),580000,365000,,,4,0,0,0,26,Semi-Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),450000,300000,,,2,0,0,1,28,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),284000,236000,,,2,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,1320000,1090000,Cobro todo el salario en dólares,,3,1,1,0,26,Semi-Senior
Mendoza,Full-Time,Remoto (empresa de otro país),357870,,Cobro todo el salario en dólares,,3,3,3,0,27,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),208755,175000,,,3,3,3,6,26,Semi-Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),300000,270000,Cobro todo el salario en dólares,352,8,2,2,0,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),886000,146400,Cobro parte del salario en dólares,185,4,2,2,0,31,Semi-Senior
Buenos Aires,Full-Time,Freelance,338000,338000,,,10,0,0,4,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,500000,500000,Mi sueldo está dolarizado (pero cobro en moneda local),,0,0,0,0,32,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,370000,,,5,5,5,0,44,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,411000,,,19,3,0,2,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),240000,196000,,,4,4,3,1,44,Semi-Senior
Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),216000,216000,,,6,0,0,0,35,Senior
Chubut,Full-Time,Staff (planta permanente),330000,30000,,,2,1,1,0,25,Junior
Córdoba,Full-Time,Staff (planta permanente),511000,350000,,,3,1,1,0,26,Semi-Senior
Córdoba,Part-Time,Staff (planta permanente),91046,88500,,,1,1,1,0,24,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),217000,180000,,,0,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000,180000,,,2,2,2,0,29,Junior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),165909,145000,,,3,1.5,3,0,30,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),214377,177900,,,2,0,1,0,30,Junior
Santa Fe,Full-Time,Staff (planta permanente),328071,271439,,,0,0,0,0,34,Junior
Córdoba,Full-Time,Staff (planta permanente),281927,246011,,,2,2,2,0,27,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),243000,200000,,,1,1,1,0,332,Junior
Córdoba,Full-Time,Staff (planta permanente),251400,206000,,,1,1,1,0,26,Junior
Mendoza,Full-Time,Staff (planta permanente),460330,327626,,,15,11,4,3,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),950000,620000,,,20,17,3,0,55,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),225000,186750,,,2,1,1,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),173000,143000,,,5,3,3,0,28,Semi-Senior
Jujuy,Full-Time,Staff (planta permanente),364000,304000,,no,10,5,5,6,40,Senior
Buenos Aires,Full-Time,Staff (planta permanente),500000,300000,,,5,4,4,0,26,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),369150,312072,Cobro todo el salario en dólares,,5,0,0,0,37,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),310000,260000,,,2,2,1,0,24,Junior
Buenos Aires,Full-Time,Staff (planta permanente),198000,198000,Cobro parte del salario en dólares,340,0,0,0,4,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,307000,,,4,1,1,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),372000,280000,,,1.5,1.5,1.5,0,38,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),750000,450000,,,14,5,1,0,40,Senior
Buenos Aires,Part-Time,Freelance,140000,,,,1,1,1,0,29,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1200000,1000000,Cobro todo el salario en dólares,300,6,0,4,1,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,1300000,Cobro parte del salario en dólares,178,10,4,4,0,46,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),173000,144000,Mi sueldo está dolarizado (pero cobro en moneda local),173.87,0,0,0,0,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,720000,,,20,3,1,30,38,Senior
Santa Fe,Full-Time,Staff (planta permanente),240000,216000,,,3,3,3,0,32,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),285000,240000,,,25,8,8,0,50,Senior
Córdoba,Full-Time,Staff (planta permanente),144500,120000,,,10,7,4,0,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),560000,349000,,,3,2,1,0,29,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),300000,400000,,,4,3,2,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),225000,189000,,,3,3,3,0,50,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),420000,350000,Mi sueldo está dolarizado (pero cobro en moneda local),,3,0,0,0,35,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),224315,201182,,,1.5,1.5,1.5,2,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),120000,103000,,,2,0,0,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),300000,300000,Cobro todo el salario en dólares,,14,1,4,1,36,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),75000,62500,,,1,1,1,0,35,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),482000,312000,,,7,4,2,0,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),666000,425000,,,5,1,3,0,28,Semi-Senior
Tucumán,Full-Time,Staff (planta permanente),339000,270000,,,3,2,2,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),605000,444597,,,25,1,1,60,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,290000,,,17,2,2,0,42,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),509000,327500,,,15,4,4,4,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,270000,Cobro parte del salario en dólares,,4,2,2,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,370000,Cobro todo el salario en dólares,350,3,3,3,0,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1350000,860000,,,10,0,0,8,44,Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),220000,295000,Cobro parte del salario en dólares,175,2.2,1.5,1.5,0,23,Semi-Senior
Chaco,Full-Time,Staff (planta permanente),249700,249500,,,1,3,1,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000,430000,,,4,18,2,6,36,Semi-Senior
Tucumán,Full-Time,Remoto (empresa de otro país),1400000,1350000,Cobro todo el salario en dólares,4000,7,1,7,0,35,Senior
Tucumán,Full-Time,Remoto (empresa de otro país),1190000,1000000,Cobro todo el salario en dólares,,8,2,2,0,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),155560,129214,,,2,0,0,0,23,Junior
Córdoba,Full-Time,Staff (planta permanente),988000,566000,,,7,1,1,0,30,Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),280000,280000,,,2,2,2,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),265000,230000,,,14,2,2,0,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),187951,156000,,,3,2,2,0,23,Semi-Senior
Buenos Aires,Part-Time,Staff (planta permanente),180000,147600,,,0,0,0,0,25,Junior
Mendoza,Full-Time,Staff (planta permanente),425000,350000,,,2,2,1,6,38,Junior
Buenos Aires,Full-Time,Staff (planta permanente),511000,310000,,,17,2,2,0,,
Santa Cruz,Full-Time,Freelance,100000,100000,,,1,1,1,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),675000,512000,,,10,2,1,2,32,Senior
Santa Fe,Full-Time,Remoto (empresa de otro país),1500000,1155000,Cobro todo el salario en dólares,,6,1,1,0,26,Senior
Córdoba,Full-Time,Staff (planta permanente),210000,185000,,,3,10,2,0,40,Semi-Senior
Buenos Aires,Full-Time,Freelance,1088000,1003623,Cobro todo el salario en dólares,,15,2,2,15,45,Senior
Córdoba,Full-Time,Staff (planta permanente),250000,200000,Mi sueldo está dolarizado (pero cobro en moneda local),,3,2,2,1,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),331690,243450,,,15,11,11,0,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,340000,,,1,1,0,2,36,Junior
Córdoba,Full-Time,Staff (planta permanente),625000,520000,Cobro parte del salario en dólares,,20,5,3,40,39,Senior
Santa Fe,Full-Time,Staff (planta permanente),80000,75000,,,2,1,1,0,28,Junior
Mendoza,Full-Time,Staff (planta permanente),293000,264000,,,7,3,3,0,34,Senior
Buenos Aires,Full-Time,Staff (planta permanente),220000,235000,,,15,1,1,0,32,Senior
Buenos Aires,Full-Time,Participación societaria en una cooperativa,273000,250000,,,0,0,0,0,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),927000,581000,,,7,4,0,5,37,Senior
Entre Ríos,Full-Time,Staff (planta permanente),610000,740000,Cobro parte del salario en dólares,178,13,13,3,8,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),465000,275000,,,15,10,5,0,42,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,350000,,,12,0,6,1,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,200000,180000,Cobro parte del salario en dólares,,2,1,2,1,22,Junior
Santa Fe,Full-Time,Staff (planta permanente),252438,220000,,,6,6,2,7,32,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),515200,427616,,,2,2,2,1,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),350000,350000,,,7,4,4,0,33,Senior
Misiones,Full-Time,Staff (planta permanente),265000,220000,,,6,3,1,9,35,Senior
Buenos Aires,Full-Time,Staff (planta permanente),363900,312038,Cobro parte del salario en dólares,,1.5,4.5,1.5,0,41,Junior
Córdoba,Full-Time,Staff (planta permanente),135000,,,,4,4,4,5,25,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),204000,185000,,,3,3,2,0,38,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),593724,490401,Cobro parte del salario en dólares,351,27,0,0,0,52,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),80000,,,,0,0,0,0,22,Junior
Santa Fe,Full-Time,Staff (planta permanente),231500,202500,,,2,2,2,0,32,Junior
Santa Fe,Full-Time,Staff (planta permanente),550000,328000,Cobro parte del salario en dólares,Mep,5,1,1,0,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),670000,480000,Cobro parte del salario en dólares,174,3,0,0,0,36,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),640000,450000,Cobro parte del salario en dólares,184,2,1,1,0,36,Junior
Buenos Aires,Full-Time,Staff (planta permanente),210000,170000,,,1.5,1,1,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000,180000,,,2,5,2,20,30,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),345000,293250,,,2,2,2,4,21,Junior
Córdoba,Full-Time,Staff (planta permanente),346000,287000,Cobro parte del salario en dólares,MEP,10,1,1,0,42,Senior
Córdoba,Full-Time,Staff (planta permanente),230000,230000,,,3,10,4,3,34,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),250000,207500,,,1,0,0,0,30,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),950000,700000,Cobro parte del salario en dólares,180,15,10,5,14,36,Senior
Santa Fe,Full-Time,Staff (planta permanente),370000,270000,Cobro parte del salario en dólares,,3,0,0,0,31,Semi-Senior
