QR;FORMALIDAD;FMI;RELACIÓN DE TENECIA DEL XTF;LC_PREDIO;lc_estructura_novedad_numero_predial;lc_Novedad;JUSTIFICACION_NOVEDAD;CONTAR LC PREDIO;CONTAR LC ESTRUCTURA;CONDICIÓN DE LC PREDIO (22);NPN PROVISIONAL LC_PREDIO (18);CONDICION_LC_ESTRUCTURA_NOVEDAD (22);NPN PROVISIONAL LC_ESTRUCTURA (18);BUSCAR_LC_PREDIO;BUSCAR_LC_ESTRUCTURA;ESTADO_FMI;FMI_R2;CC VIGENTE
7316862010;Informal;29799;Posesion;73168000300000001A531200000000;73168000300000001A531200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010028000000000
7316864036;Informal;1026;Posesion;73168000300000001A568200000000;731680003000000010015500000011;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680003000000010015500000011;ACTIVO;NO ESTA;731680003000000010015500000011
7316813031;Formal;53063;Dominio;731680004000000010089000000000;731680004000000010089000000000;Ninguna;;1;1;0;0;0;0;731680004000000010089000000000;731680004000000010089000000000;ACTIVO;53063;731680004000000010089000000000
7316862005;Informal;29799;Posesion;73168000300000001A530200000000;73168000300000001A530200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010028000000000
7316813607;Formal;57057;Dominio;731680003000000010011000000000;731680003000000010011000000000;Ninguna;;1;1;0;0;0;0;731680003000000010011000000000;731680003000000010011000000000;ACTIVO;57057;731680003000000010011000000000
7316863010;Informal;50219;Posesion;73168000400000001A041200000000;73168000400000001A041200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010087000000000
7316863164;Informal;7366;Posesion;73168000300000001A369200000000;73168000300000001A369200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010018000000000
7316824828;Formal;14606;Dominio;731680003000000010012000000000;731680003000000010012000000000;Ninguna;;1;1;0;0;0;0;731680003000000010012000000000;731680003000000010012000000000;ACTIVO;14606;731680003000000010012000000000
7316813901;Formal;51822;Dominio;731680003000000010114000000000;731680003000000010114000000000;Ninguna;;1;1;0;0;0;0;731680003000000010114000000000;731680003000000010114000000000;ACTIVO;51822;731680003000000010114000000000
7316813902;Formal;51823;Dominio;731680003000000010115000000000;731680003000000010115000000000;Ninguna;;1;1;0;0;0;0;731680003000000010115000000000;731680003000000010115000000000;ACTIVO;51823;731680003000000010115000000000
7316813032;Formal;50249;Dominio;731680004000000010090000000000;731680004000000010090000000000;Ninguna;;1;1;0;0;0;0;731680004000000010090000000000;731680004000000010090000000000;ACTIVO;50249;731680004000000010090000000000
7316863008;Informal;27184;Posesion;73168000400000001A121200000000;73168000400000001A121200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010020000000000
7316815232;Formal;55602;Dominio;731680004000000010095000000000;731680004000000010095000000000;Ninguna;;1;1;0;0;0;0;731680004000000010095000000000;731680004000000010095000000000;ACTIVO;55602;731680004000000010095000000000
7316861007;Informal;;Ocupación;73168000300000001A587200000000;73168000300000001A587200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;NO ESTA;NO ESTA;731680003000000010150000000000
7316865024;Informal;18195;Posesion;73168000400000001A056200000000;731680004000000010046500000002;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680004000000010046500000002;ACTIVO;NO ESTA;731680004000000010046500000002
7316824864;Formal;41409;Dominio;731680003000000010037000000000;731680003000000010037000000000;Ninguna;;1;1;0;0;0;0;731680003000000010037000000000;731680003000000010037000000000;ACTIVO;41409;731680003000000010037000000000
7316809187;Informal;1026;Posesion;73168000300000001A567200000000;731680003000000010015500000001;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680003000000010015500000001;ACTIVO;NO ESTA;731680003000000010015500000001
7316864041;Informal;1026;Posesion;73168000300000001A566200000000;731680003000000010015500000009;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680003000000010015500000009;ACTIVO;NO ESTA;731680003000000010015500000009
7316802686;Informal;27184;Posesion;73168000400000001A120200000000;731680004000000010020500000004;Cambio_Numero_Predial;Cambio de número predial por cambio de condición de propiedad;1;1;2;A;5;0;NO ESTA;731680004000000010020500000004;ACTIVO;NO ESTA;731680004000000010020500000004
7316801769;Formal;53136;Dominio;731680003000000010157000000000;731680003000000010157000000000;Ninguna;;1;1;0;0;0;0;731680003000000010157000000000;731680003000000010157000000000;ACTIVO;53196;731680003000000010157000000000
7316863009;Informal;27184;Posesion;73168000400000001A119200000000;731680004000000010020500000008;Cambio_Numero_Predial;Cambio de número predial por cambio de condición de propiedad;1;1;2;A;5;0;NO ESTA;731680004000000010020500000008;ACTIVO;NO ESTA;731680004000000010020500000008
7316802532;Informal;26997;Ocupación;73168000300000001A547200000000;73168000300000001A547200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010005000000000
7316828340;Formal;29799;Dominio;731680003000000010028000000000;731680003000000010028000000000;Ninguna;;1;1;0;0;0;0;731680003000000010028000000000;731680003000000010028000000000;ACTIVO;29799;731680003000000010028000000000
7316816173;Formal;27134;Dominio;731680003000000010022000000000;731680003000000010022000000000;Ninguna;;1;1;0;0;0;0;731680003000000010022000000000;731680003000000010022000000000;ACTIVO;27134;731680003000000010022000000000
7316872009;Informal;35118;Posesion;73168000400000001A011200000000;73168000400000001A011200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010042000000000
7316803114;Formal;58574;Dominio;731680003000000010010000000000;731680003000000010010000000000;Ninguna;;1;1;0;0;0;0;731680003000000010010000000000;731680003000000010010000000000;ACTIVO;41414;731680003000000010010000000000
7316872001;Informal;;Ocupación;73168000400000001A036200000000;731680004000000010060500000002;Cambio_Numero_Predial;Mejora a Ocupación;1;1;2;A;5;0;NO ESTA;731680004000000010060500000002;NO ESTA;NO ESTA;731680004000000010060500000002
7316867001;Informal;54596;Posesion;73168000400000001A063200000000;73168000400000001A063200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010094000000000
7316826265;Formal;27136;Dominio;73168000300000001A407000000000;731680003000000010020000000000;Cambio_Numero_Predial;Cambio de número predial por cambio de clasificación del suelo;1;1;0;A;0;0;NO ESTA;731680003000000010020000000000;ACTIVO;NO ESTA;731680003000000010020000000000
7316867011;Informal;27818;Posesion;73168000400000001A013200000000;73168000400000001A013200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010029000000000
7316867015;Informal;27184;Posesion;73168000400000001A118200000000;73168000400000001A118200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010020000000000
7316826266;Formal;27137;Dominio;731680003000000010021000000000;731680003000000010021000000000;Ninguna;;1;1;0;0;0;0;731680003000000010021000000000;731680003000000010021000000000;ACTIVO;27137;731680003000000010021000000000
7316826261;Formal;27135;Dominio;731680003000000010023000000000;731680003000000010023000000000;Ninguna;;1;1;0;0;0;0;731680003000000010023000000000;731680003000000010023000000000;ACTIVO;27135;731680003000000010023000000000
7316861004;Informal;53088;Posesion;73168000300000001A602200000000;73168000300000001A602200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010159000000000
7316864037;Informal;44168;Posesion;73168000300000001A315200000000;73168000300000001A315200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010106000000000
7316872014;Informal;35118;Posesion;73168000400000001A010200000000;73168000400000001A010200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010042000000000
7316808420;Informal;29799;Posesion;73168000300000001A529200000000;73168000300000001A529200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010028000000000
